address,module_address,chain_key,deployed_block,deployed_tx_index,deployed_log_index
0x6229e8c61ccf7f82c028ddcb64ee1a7e1f1ce85b,0x1bca74ffd9180eacc5d056815ba3de83ad5845cd,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,58,0
0x5ad42bcc355014d12a6db6fa03c6dcad27374c1a,0x90f697f92bca1ce9792d87c5905a8dde399ab218,0x01bfbcb6a2924b083969ce6237adbbf3bfa7de13,30000000,59,0
0x3285b2961d7b1e467f13a64dea8e4e1f3eb0eeed,0xa12186fa08c65d247db7449280231c9e19aa93a6,0x01bfbcb6a2924b083969ce6237adbbf3bfa7de13,30000000,60,0
0xb6a97aa41867e1deacae40af8573ed576cb29a1b,0x562a80330b8197adf2e8d313ecd4081f9e7b002c,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,61,0
0x9cb7e1f4b8c014ce26b34073b6d2484fe773fae1,0x007c3989ff9ebe93f3fc09a126e112c236c231ba,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,62,0
0xdb7b95978830b55488f5170320f56080540bbff3,0x0bcc4a80614790f3f9fb07d50b22b3fa6f448d79,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,63,0
0x8fbd0dda82c6ec6747b623c19161c4ceaae6f5db,0xd350ac97eb54cef8cfcd21d3039db432d018dde2,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,64,0
0x1dab546b395d375b89290337e304bf5e4d4a137f,0xee827461f2fad984ff4697501ed0ee5744d4b5bb,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,65,0
0x20b9c99a400bde3e65ac5650772a77be9c52b4d6,0xe7222927d871dfec0bf361e8913a9b22a63e5c5b,0x529f995739c9c425cecee9def78e95cb07887565,30000000,66,0
0xbdf7d9689b81ab358c19dd0e17d241d43cfd6a48,0x6a71a5c97550d6e22af4b8844945a444131234a7,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,67,0
0xbd6d3b2e9ad359274f4c81f4e24c8821b897010b,0xe41e4ea8681adc58cfa5d29ca1e5fa76c77691ba,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,68,0
0x1efb9cb8a69e4116ca88393e59db8d2a50e05027,0x58be12f4acbca8007e1e0ab3f91cf0b03b05cfc5,0x01bfbcb6a2924b083969ce6237adbbf3bfa7de13,30000000,69,0
