address,module_address,chain_key,deployed_block,deployed_tx_index,deployed_log_index
0x7642f2e82378b505a8feb899c13db27d4c0e7f80,0xc40e32eeef87f0aacecb09a572fdacbaefe5242b,0x098b275485c406573d042848d66eb9d63fca311c,30000000,28,0
0xf4d556ebb05abf694108f7f0d0cd50c164669bc3,0xf9eb32eb3fac862c79581cbcbbc64707698b982f,0xb192a1e17a5f86d4767b737702d3e1e1e0f45d16,30000000,29,0
0x196db1492d9797f717fe7905ee8aa5e6ddbe5c01,0x0315f3eca9a61ead163bd90f9fb1f3116b7f15be,0x4ff4e61052a4dfb1be72866ab711ae08dd861976,30000000,30,0
0x41715c0acaf5271dbfb2aa91bc350bc737ae2c21,0xa7be5f8441cab5642c584241daf5270a6dc20ad6,0x098b275485c406573d042848d66eb9d63fca311c,30000000,31,0
0x92b7c8c6471827c626b1f3ec243f46d1af5a3307,0xaef96bea9b33a10461b1aab4bbdece1dfbd89fcb,0xe9c8062369d563d424a4fc9cce4e4113ec2ade67,30000000,32,0
0x148c36c6c4fd2c21f77981c1a0ca2e027275d39d,0xc24a7553c71049d8622927268c2065fb2000f411,0x098b275485c406573d042848d66eb9d63fca311c,30000000,33,0
0x4b4c0668cf679eef51b9cb75239eac19ec059b92,0x44de3caf112cc015e87bd729f3edf962d4ceacba,0x7d4206b12f994c5e6dacdac81f5df72a5c0dcc15,30000000,34,0
0xdab63e174c8aa6290f038e5cbeb8a57e37d0d117,0x77729750d29be77562dcb76308182ea7d45a4ee4,0x098b275485c406573d042848d66eb9d63fca311c,30000000,35,0
0x990bcef8e5e5658f6bfaf74b3d802fba797d0ed3,0xcd049ffcfe1af1ae831eb04b796a040991dc8cd2,0x098b275485c406573d042848d66eb9d63fca311c,30000000,36,0
0xfcb9ebaecc3cc34bb560994b10725de8565286e4,0x36cfc9e088c38224b362b82f5e7e7da69fd8a86b,0x9c0e24263739aca4b90273121ca5bd047dffe266,30000000,37,0
